id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13238606,"Amazing, modern private bedroom and bathroom",1148770,Gordon,,Unincorporated Areas,36.08935,-115.22476,Private room,76,1,1,2018-09-23,0.03,2,90
13261877,Mansion Belle Oasis Perfect For Family Reunion,74535885,Steeven,,Unincorporated Areas,36.08195,-115.22834,Entire home/apt,1795,4,1,2020-11-09,0.18,1,208
13262360,"LasVegasLuxuryStudio,1,2or3bdrm LazyRiverFireplace",3275373,Leanne,,Unincorporated Areas,36.03431,-115.17345,Entire home/apt,265,1,10,2020-10-26,0.17,22,249
13266131,The Signature at MGM Grand high floor amazing view,34960194,Jake,,Unincorporated Areas,36.10681,-115.16805,Entire home/apt,100,1,300,2021-04-13,5.05,3,80
13266177,4 Bedroom house with private pool and spa,74718941,Randy,,Unincorporated Areas,36.00894,-115.14969,Entire home/apt,221,5,84,2021-04-10,1.45,2,91
13297775,Luxurious Accommodation 5 Minutes From The Strip!,42938395,Chaz,,Unincorporated Areas,36.09807,-115.21045,Entire home/apt,125,2,276,2021-04-07,4.74,1,214
13301609,NO Resort Fees MGM Condo-Balcony/Strip/jacuzzi tub,23970632,Mia,,Unincorporated Areas,36.10678,-115.16773,Entire home/apt,148,1,94,2020-10-20,1.60,5,97
13333370,2Br Wyndham Grand Desert ResortHP1,2995822,Kathy D,,Unincorporated Areas,36.10712,-115.16109,Entire home/apt,454,2,9,2021-03-21,0.17,49,364
13336817,"MGM Signature studio with  balcony, NO RESORT FEE,",368740,Haim,,Unincorporated Areas,36.10575,-115.16628,Private room,86,2,203,2021-04-19,3.47,2,66
13357340,Grandview at Las Vegas: 1-BR Sleeps 4 Full Kitchen,27042710,Igor,,Unincorporated Areas,36.009,-115.17572,Entire home/apt,150,5,8,2021-02-18,0.15,29,365
13361479,Grand Desert Resort 2 Bedroom apartment - VEGAS,20874398,Andre,,Unincorporated Areas,36.10806,-115.16182,Entire home/apt,223,5,0,,,1,264
13378567,Near the Strip! 2 miles from Allegiant Stadium,48080639,Edward,,Unincorporated Areas,36.08566,-115.22043,Private room,43,1,270,2021-03-17,4.58,9,0
13380271,Re-Opened! PalmsPlace Strip View Room w/ Balcony,31737585,Sharon,,Unincorporated Areas,36.1154,-115.19796,Private room,80,1,311,2021-04-06,5.30,1,42
13398692,Private Modern Casita with Pool Sleeps 4,21152610,Nick,,Unincorporated Areas,36.25413,-115.26005,Entire home/apt,139,2,205,2020-11-01,3.49,1,98
13406367,ALLURING  2 BDR | NO RSRT FEE | POOL | FREE WIFI,11256923,Luk,,Unincorporated Areas,36.11686,-115.16241,Entire home/apt,240,2,72,2021-04-18,1.26,27,216
13410300,Club de Soleil Resort: 2bd 2ba - for 6,76365332,Larry,,Unincorporated Areas,36.09929,-115.21872,Entire home/apt,169,3,6,2020-01-01,0.10,2,295
13411378,Close to bus line or greatuber syst,76379671,,,City of Las Vegas,36.28642,-115.29274,Shared room,19,2,51,2020-02-17,0.91,1,90
13447535,Beautiful Suite 33rd Floor with Balcony,76780275,Emanuel,,Unincorporated Areas,36.11412,-115.19696,Entire home/apt,90,1,236,2021-04-16,4.01,1,193
13454233,"Club de Soleil, 2 bed 2ba,  4 Days, 3 Nights",76365332,Larry,,Unincorporated Areas,36.09985,-115.21714,Entire home/apt,189,3,1,2019-12-09,0.06,2,0
13461182,RESORT STYLE LIVING CONDO,75630009,Suzan,,Unincorporated Areas,36.05519,-115.28912,Entire home/apt,80,60,8,2019-10-30,0.17,1,325
13463380,Polo Towers- Studio,31214940,Scott,,Unincorporated Areas,36.10659,-115.17095,Entire home/apt,115,2,21,2020-03-11,0.40,28,5
13466033,Upscale Casita! Perfect location!!,76997746,Carrie,,Unincorporated Areas,36.05695,-115.12765,Entire home/apt,96,3,56,2020-07-14,1.00,1,323
13471333,1Br Wyndham Grand Desert Resort c2,2995822,Kathy D,,Unincorporated Areas,36.10712,-115.16109,Entire home/apt,156,2,17,2020-01-11,0.29,49,63
13475926,⚡️MGM Free resort access-High Floor STRIP view☄️⛱✨,35213696,Noelle,,Unincorporated Areas,36.10758,-115.166,Entire home/apt,107,1,181,2021-04-05,3.88,4,29
13478086,630 SQ FT Vdara Studio Parlor Suite,9507254,Jonathan,,Unincorporated Areas,36.10848,-115.17942,Entire home/apt,102,1,324,2021-04-18,5.57,5,131
13489376,(01)Sweet room with private bathroom 温馨主卧独立卫生间,31730116,Chengcheng,,Unincorporated Areas,36.12694,-115.12915,Private room,23,31,68,2020-12-03,1.16,16,265
13493039,NASCAR/EDC Privt/Quiet/Magnificent/Sparkling clean,64560475,"Jesse, Nena And JB.",,City of North Las Vegas,36.26018,-115.17047,Private room,95,30,15,2021-02-12,0.25,10,13
13510119,Beautiful Master bdrm w/ two comfy queen size beds,64560475,"Jesse, Nena And JB.",,City of North Las Vegas,36.23609,-115.20306,Private room,140,30,11,2019-05-27,0.19,10,43
13511089,Nice/Spacious/Private  room w/ Italian furniture.,64560475,"Jesse, Nena And JB.",,City of North Las Vegas,36.2562,-115.19683,Private room,89,30,16,2021-04-01,0.31,10,50
13511421,Beach Oasis Pool & Spa w/ 2 Bedrooms and Bathrooms,50948688,Monique,,City of North Las Vegas,36.27768,-115.12482,Entire home/apt,127,1,206,2021-04-06,3.51,3,50
13513603,Magnificent 3-Story Mansion Strip View (sanitized),28246220,Al,,Unincorporated Areas,36.05734,-115.22841,Entire home/apt,353,2,127,2021-04-02,2.15,3,46
13516266,Private corner apartment 7 minutes from Strip,20029214,Dee,,Unincorporated Areas,36.13095,-115.19432,Entire home/apt,100,1,294,2021-04-08,5.03,1,12
13531734,Private Room/bath with King Bed close to the Strip,77791397,Alejandro,,Unincorporated Areas,36.11232,-115.23536,Private room,47,1,100,2021-04-09,2.31,1,142
13534542,"Las Vegas Huge home 4 bdr, 10 min 2 Strip, Cozy",77550536,Lydia,,Unincorporated Areas,36.12874,-115.26295,Entire home/apt,214,2,64,2021-04-14,1.17,3,292
13537282,Luxury 3 bedroom house close to Strip & outlet,36594414,Julia,,Unincorporated Areas,36.05572,-115.23297,Entire home/apt,117,28,85,2021-02-22,1.44,1,72
13537898,Corner Castle ♡ Private Pool ♡ New Home ♡,33829826,Dov,,City of North Las Vegas,36.27173,-115.10783,Entire home/apt,386,2,86,2021-04-14,1.50,9,276
13562728,3 bedroom house with pool near local casinos,78158632,Eric,,Unincorporated Areas,36.11549,-115.08162,Entire home/apt,154,31,242,2020-12-07,4.13,1,187
13583756,"Spacious-Cozy Oasis-
Great reviews-",29573472,Jim,,Unincorporated Areas,36.04226,-115.23399,Entire home/apt,225,30,68,2021-04-19,1.24,1,59
13590028,Amazing Home By The Strip With Pool.,66119406,Ari,,City of Las Vegas,36.15197,-115.13081,Entire home/apt,150,30,96,2021-03-07,1.63,9,282
13658801,"Nice, quiet and safe place near Las Vegas",79362841,,,City of Henderson,36.02159,-115.01841,Private room,23,30,129,2019-12-09,2.20,1,17
13660721,Beautiful home/WIFI/ King size bed in every room,57340283,Marika,,Unincorporated Areas,36.00219,-115.1499,Entire home/apt,171,4,38,2021-04-05,0.65,2,0
13667345,"23N Cool Apartment by Virgin Hotel Casino, UNLV",326906810,Maria,,Unincorporated Areas,36.10524,-115.14907,Entire home/apt,67,1,77,2021-04-16,1.31,12,89
13670344,Park front Modern Retreat (Heated POOL for a fee),20029932,Arthur,,Unincorporated Areas,36.1133,-115.22739,Entire home/apt,276,2,163,2021-03-20,2.78,6,290
13687920,Juntos IN Vegas!,79737860,Ana..,,Unincorporated Areas,36.12317,-115.19518,Private room,75,1,57,2021-04-14,1.01,1,365
13694619,PALMS PLACE  BALCONY STRIP VIEW,3321660,Mike And Penny,,Unincorporated Areas,36.11443,-115.19772,Entire home/apt,116,30,0,,,2,364
13728541,Sunset Paradice,80288525,Corey,,Unincorporated Areas,36.06884,-115.11087,Entire home/apt,75,30,1,2019-08-13,0.05,2,27
13733593,"*“90-Day Fiance” film site, 5* sanitized and safe!",80356060,Madison,,Unincorporated Areas,36.12869,-115.10116,Private room,44,30,470,2021-01-08,8.07,2,81
13734062,"**“90-Day Fiance” film site, SUPERHOST, Save $",80356060,Madison,,Unincorporated Areas,36.1302,-115.09999,Private room,46,30,525,2020-12-28,8.99,2,141
13772782,"Your Bedroom in Las Vegas, Welcome!",80713575,Handerson,,Unincorporated Areas,36.12136,-115.19712,Private room,85,1,100,2020-11-22,1.71,1,365
13813716,Resort Like 2bdrm Condo Minutes from the strip,81325852,Sandy,,Unincorporated Areas,36.11393,-115.19044,Entire home/apt,120,3,140,2021-04-08,2.46,3,361
13816046,"Closest 1 bed, bath, kitchen. 1 mile from strip!",56903630,D,,Unincorporated Areas,36.12438,-115.15141,Entire home/apt,99,2,80,2020-12-21,1.41,5,0
13876774,Brandnew  3miles frm Lv strip,56412366,Jojo,,Unincorporated Areas,36.13787,-115.21083,Entire home/apt,71,1,46,2018-06-04,0.84,1,0
13920372,Wyndham Grand Desert 1bdrm,73776383,Kani,,Unincorporated Areas,36.10712,-115.16109,Entire home/apt,499,2,1,2018-10-21,0.03,40,179
13926436,Master bathroom with private entry private parking,79317028,M,,Unincorporated Areas,36.11021,-115.23861,Private room,49,1,58,2021-02-27,1.07,2,328
13931170,Comfy clean quiet 3Br house close to Strip&Airport,70310131,Ping,,Unincorporated Areas,36.05366,-115.21897,Entire home/apt,173,2,227,2021-04-16,3.91,7,137
13937405,Marriott Grand Chateau On The Strip Luxury Studio,19056065,Tony,,Unincorporated Areas,36.10793,-115.16982,Entire home/apt,199,1,128,2020-08-28,2.25,5,89
13956396,WorldMark Las Vegas - Tropicana Avenue 2bdrm,73776383,Kani,,Unincorporated Areas,36.0999,-115.21345,Entire home/apt,607,2,1,2020-01-10,0.06,40,0
13965713,Downtown (Art District) with pool (1),8997000,Fabio,,City of Las Vegas,36.15641,-115.14313,Private room,80,30,253,2020-03-27,4.38,1,57
13972051,Hilton Grand Vacations the Las Vegas Strip 1bdrm,73776383,Kani,,Unincorporated Areas,36.13979,-115.16075,Entire home/apt,283,2,1,2019-01-11,0.04,40,142
13979280,TI8 Stunning Studio | View | Parking | Balcony,18273973,Alex,,Unincorporated Areas,36.11436,-115.19657,Entire home/apt,122,2,167,2021-04-12,2.89,228,55
13980727,The pure townhouse with 2 master beds in Las Vegas,79697137,,,Unincorporated Areas,36.09743,-115.14099,Entire home/apt,150,3,50,2020-09-07,0.91,1,357
13980871,4BR Oasis w/ Heated Pool 7 Minutes from the Strip,5777576,Artem,,Unincorporated Areas,36.11068,-115.2459,Entire home/apt,188,2,193,2021-04-20,3.32,2,0
13999129,Upscale South Summerlin Bedroom,25478375,,,Unincorporated Areas,36.09288,-115.30859,Private room,39,31,10,2021-04-20,0.25,3,21
14003392,MGM Signature Tower 1 (no resort fees),368740,Haim,,Unincorporated Areas,36.10679,-115.16656,Private room,81,2,161,2021-04-18,2.79,2,70
14008676,IronWood Estate Home,83196409,Percy,,City of Las Vegas,36.32226,-115.28944,Entire home/apt,700,4,2,2017-04-22,0.04,1,365
14009815,"King bed studio 7 nights stay at Elara, Las Vegas",83754283,Jidong,,Unincorporated Areas,36.10745,-115.1676,Entire home/apt,125,7,2,2018-01-13,0.04,3,358
14009891,DISINFECTED  MODERN CONDO 2 MIN TO THE STRIP !!!,55738060,Cali And Floyd,,Unincorporated Areas,36.10201,-115.15844,Entire home/apt,162,4,160,2021-03-19,3.14,2,103
14011957,Private Casita 15 Minutes to the Strip,31178943,Scott & Joey,,Unincorporated Areas,36.11699,-115.05486,Private room,53,7,161,2021-04-05,2.82,1,114
14013546,"Atelier: Clean, Spacious  4bed, 3bath w/Pool",11667526,Watany,,Unincorporated Areas,36.0915,-115.23811,Entire home/apt,149,31,183,2020-11-29,3.16,1,266
14026184,Hilton Grand Vacations the Las Vegas Strip 2bdrm,73776383,Kani,,Unincorporated Areas,36.13979,-115.16075,Entire home/apt,339,2,3,2018-03-19,0.05,40,89
14030707,MGM Signature Penthouse Jr. Suite  right On Strip,56419800,Cindy,,Unincorporated Areas,36.10735,-115.17223,Entire home/apt,179,3,75,2021-04-04,1.31,9,333
14031627,"MGM True 1BR, High Floor STRIP VIEW 950 sqft",20294,Lee,,Unincorporated Areas,36.10754,-115.1663,Entire home/apt,183,1,201,2021-03-31,3.48,4,148
14039618,Hilton Grand Vacations on the Strip studio,73776383,Kani,,Unincorporated Areas,36.13878,-115.1615,Entire home/apt,800,1,3,2017-01-08,0.06,40,59
14041752,Hilton Grand Vacations on Paradise LVCC 2bdrm,73776383,Kani,,Unincorporated Areas,36.13995,-115.15228,Entire home/apt,339,1,2,2019-05-20,0.03,40,0
14057035,home in gate guarded community next to strip,84346854,S,,Unincorporated Areas,36.08785,-115.21778,Entire home/apt,149,3,13,2021-04-02,0.23,1,202
14068193,One Bedroom Palms Place Luxury Condo,56219240,Stephanie,,Unincorporated Areas,36.11466,-115.19691,Entire home/apt,208,2,196,2021-04-03,3.42,1,0
14081265,"Las Vegas Sunrise, habitación#1",84646422,Hector Y Lidia,,Unincorporated Areas,36.17239,-115.04708,Private room,35,2,290,2021-03-28,5.08,2,23
14087984,Elara by Hilton Grand Vacations Center Strip 1bdrm,73776383,Kani,,Unincorporated Areas,36.10856,-115.16868,Entire home/apt,1409,2,0,,,40,0
14088294,Las Vegas: Desert Blue-Studio,73776383,Kani,,Unincorporated Areas,36.12228,-115.18395,Entire home/apt,436,2,1,2016-08-22,0.02,40,0
14106430,"6bd, 4 bath, 2 liv rm house w/ pool. 7 min strip",84931794,,,City of Las Vegas,36.18643,-115.18903,Entire home/apt,379,30,81,2019-06-02,1.44,1,364
14109498,35% Off Fall Special - Luxury Home Near Strip,70806202,Janie,,City of Henderson,36.05706,-115.09468,Entire home/apt,464,2,51,2021-04-19,0.93,24,321
14113287,Vegas Studio at The Palm Place Hotel/Spa,68314251,Jacob,,Unincorporated Areas,36.11346,-115.19723,Private room,100,1,369,2021-04-18,6.41,1,211
14125877,"Desert Inn Mobile Estates, 15 Minutes to Strip",85184473,Eric,,Unincorporated Areas,36.12561,-115.06116,Private room,30,1,30,2019-12-30,0.72,1,0
14153217,Vegas Oasis,47979863,Richelle,,Unincorporated Areas,36.02427,-115.28098,Entire home/apt,200,3,8,2021-03-22,0.15,1,354
14155643,"Vegas Strip,  5nights more discount! Pool,relaxing",11330952,Ryko,,City of Las Vegas,36.17872,-115.19523,Private room,45,2,166,2021-04-14,2.98,1,135
14161740,PH 51 fl. Best Strip View Balcony Kitchen Gym/Pool,85644886,Michael,,Unincorporated Areas,36.11482,-115.1973,Entire home/apt,147,2,513,2021-04-18,8.94,1,148
14169590,Studio at the Elara Hilton Grand Vacation,72787056,Jenny,,Unincorporated Areas,36.10828,-115.16978,Private room,249,3,5,2021-03-22,0.09,2,89
14173371,Polo Towers 2bedroom  on the strip #07,9464858,Eddie & Barbara,,Unincorporated Areas,36.10659,-115.17095,Entire home/apt,353,2,23,2019-11-09,0.46,34,359
14173379,Polo Towers 2bedroom  on the strip #10,9464858,Eddie & Barbara,,Unincorporated Areas,36.10659,-115.17095,Entire home/apt,353,2,22,2020-09-14,0.40,34,362
14173380,Polo Towers 2bedroom  on the strip #11,9464858,Eddie & Barbara,,Unincorporated Areas,36.10659,-115.17095,Entire home/apt,353,2,32,2019-11-06,0.83,34,362
14173381,Polo Towers 2bedroom  on the strip #12,9464858,Eddie & Barbara,,Unincorporated Areas,36.10659,-115.17095,Entire home/apt,353,2,19,2021-01-24,0.42,34,356
14177108,Las Vegas:  Grand Desert 2 bdrm suite,73776383,Kani,,Unincorporated Areas,36.10712,-115.16109,Entire home/apt,575,2,1,2016-12-07,0.02,40,179
14181646,Beautifull House Restored 20min from the Strip,85888269,John,,City of Las Vegas,36.18565,-115.2363,Entire home/apt,250,4,142,2021-04-17,2.51,1,228
14184434,moon paradise room # 2,84646422,Hector Y Lidia,,Unincorporated Areas,36.17115,-115.04872,Private room,35,2,258,2021-03-21,4.55,2,21
14202779,Private Room Close to Las Vegas Downtown 4,86176931,Victor,,City of Las Vegas,36.19549,-115.16949,Private room,29,14,40,2021-04-14,5.04,4,90
14233282,MGM Signature 3BR 4BA Penthouse Right On The Strip,56419800,Cindy,,Unincorporated Areas,36.10674,-115.17058,Private room,650,3,104,2021-03-22,1.90,9,229
14234446,★4 bed w/ Pool pool table Massage optional★,80288148,Victor,,City of Las Vegas,36.22718,-115.27478,Entire home/apt,347,3,108,2021-01-03,2.07,6,44
14255555,Little Paradise near the strip!,79544112,,,City of Las Vegas,36.18117,-115.18144,Entire home/apt,192,3,187,2021-04-18,3.27,1,10
14295668,Las Vegas Marriott,87298379,,,Unincorporated Areas,36.10862,-115.17043,Private room,190,3,2,2018-12-04,0.04,1,363
14300422,Confortable room in beautiful house,7380441,Angel Javier,,City of Las Vegas,36.26479,-115.24747,Private room,35,32,8,2018-05-22,0.14,2,359
14303355,Spacious 1 BR Unit Close to Vegas Strip,26226178,Nick,,Unincorporated Areas,36.10016,-115.21715,Entire home/apt,98,7,0,,,1,204
14330880,Wyndham Grand Desert 2 Bedroom,79259184,Rick,,Unincorporated Areas,36.10733,-115.16041,Entire home/apt,252,3,15,2019-11-07,0.27,2,349
14331164,Wyndham Grand Desert 1 Bedroom,79259184,Rick,,Unincorporated Areas,36.10733,-115.16024,Entire home/apt,191,3,3,2020-01-09,0.06,2,352
14336104,Elara  Hilton Grand Vacations Center Strip studio,73776383,Kani,,Unincorporated Areas,36.10856,-115.16868,Entire home/apt,499,2,2,2020-01-09,0.04,40,179
14337002,Timeshare Unit for Family Fun in Las Vegas,33517669,,,Unincorporated Areas,36.06073,-115.17199,Entire home/apt,200,3,3,2018-05-01,0.05,2,1
14347246,Hilton Grand Vacations at the Flamingo studio,73776383,Kani,,Unincorporated Areas,36.11675,-115.16908,Entire home/apt,1084,2,1,2016-11-14,0.02,40,0
14361433,"888 # 14, MGM, 2 Bedroom 3 Bath Balcony Suite.",12018637,888,,Unincorporated Areas,36.10685,-115.16554,Hotel room,1314,1,0,,,269,0
14363277,1BR/1½ BA Center Strip-NoResort Fees/FreeParking!,1772843,Sheila,,Unincorporated Areas,36.11074,-115.17428,Entire home/apt,150,3,14,2020-03-14,0.26,19,239
14368142,**The Barbie House**,88051641,Denetta,,City of Henderson,35.99823,-115.12907,Private room,66,30,14,2020-01-09,0.27,1,364
14368222,Fantastic High Rise Suite on the Strip!-D,45236372,Vlad,,Unincorporated Areas,36.14089,-115.15984,Entire home/apt,134,3,5,2020-03-14,0.09,5,269
14381154,"LEGAL:  Yes, I do look just like my pics!",18778381,Douglas,,City of Las Vegas,36.18865,-115.19209,Entire home/apt,203,21,143,2021-04-21,2.53,3,7
14383804,SALT WATER POOL * MID CENTURY LUXE * SLEEPS 6,34275709,Leslie,,Unincorporated Areas,36.12959,-115.13076,Entire home/apt,114,31,69,2021-04-19,1.37,2,0
14388566,21N Blackjack Studio by the Virgin Hotel Casino,326906810,Maria,,Unincorporated Areas,36.10683,-115.14814,Entire home/apt,69,1,53,2021-04-20,1.59,12,80
14389614,**Stunning Luxurious Home-Excellent Location!**,88397078,Ashley,,City of Las Vegas,36.17569,-115.16969,Entire home/apt,349,2,144,2021-04-19,2.52,4,84
14407621,Double Masterbedroom Condo 104- Minutes from Strip,73594175,Jennifer,,Unincorporated Areas,36.09564,-115.22256,Entire home/apt,65,28,10,2020-12-31,0.23,3,0
14430759,"Large 4500 sf, vintage LV home 3 mi from the Strip",73461438,David,,City of Las Vegas,36.15289,-115.19779,Entire home/apt,443,2,146,2021-04-18,2.59,1,29
14431912,Modern charm!- Close to Strip and McCarran Airport,88825748,Brian,,Unincorporated Areas,36.03959,-115.14625,Entire home/apt,168,3,118,2021-04-18,2.10,1,118
14432023,Stellar 2 Bedrm Condo Next to Strip NO RESORT FEE,81325852,Sandy,,Unincorporated Areas,36.11443,-115.18825,Entire home/apt,113,3,124,2021-04-13,2.19,3,0
14452733,Las Vegas: Flamingo 2bdrm,73776383,Kani,,Unincorporated Areas,36.11675,-115.16908,Entire home/apt,729,2,0,,,40,144
14467006,"Beautiful family house, 3br +loft, entire house",33611865,Monty,,Unincorporated Areas,36.14813,-115.31958,Entire home/apt,113,31,68,2020-10-30,1.22,3,307
14493643,2BR/2BA CENTER STRIP No Resort Fees! Free Parking!,1772843,Sheila,,Unincorporated Areas,36.11104,-115.17593,Entire home/apt,222,3,14,2020-01-10,0.27,19,225
14500034,FREE LIMO! Biz/Play •MasterStudioSuite•Palms Place,71073866,Tony & Beth,,Unincorporated Areas,36.11554,-115.19975,Entire home/apt,125,1,170,2021-04-04,3.07,8,157
14502792,Hilton Grand Vacations the Las Vegas Strip 2bdrm,73776383,Kani,,Unincorporated Areas,36.13979,-115.16075,Entire home/apt,659,2,0,,,40,179
14504631,Center Strip A+ Location! 1BR Suite,1188267,Nat,,Unincorporated Areas,36.11052,-115.17337,Entire home/apt,92,1,9,2021-04-05,0.16,6,27
14527555,"Palms Place, Amazing Strip View! Limited Low price",84355760,Leanne,,Unincorporated Areas,36.11436,-115.19657,Entire home/apt,99,1,323,2021-03-30,5.73,3,168
14534080,"Upgraded 1 BR/1 Bath Condo near UNLV, Strip",74166375,Terri,,Unincorporated Areas,36.09952,-115.1109,Entire home/apt,39,31,7,2019-02-07,0.13,1,0
14538033,Gorgeous 4BR house w. pool 12 minutes to the strip,34951708,Rias,,Unincorporated Areas,36.05202,-115.25238,Entire home/apt,399,3,104,2021-04-19,1.84,1,247
14554541,"Pvt Guest House w/pool, spa, View of Vegas strip!",90105810,John,,City of Henderson,36.00055,-114.92706,Entire home/apt,195,4,139,2021-04-19,2.47,1,269
14577264,SPRING ON SALE! NO RESORT FEE★ Strip View Suite ★FREE VALET,18881478,Joe,,Unincorporated Areas,36.10535,-115.16772,Entire home/apt,104,1,222,2021-04-13,3.92,13,323
14585281,Grand Desert- 1 bedroom,31214940,Scott,,Unincorporated Areas,36.10712,-115.16109,Entire home/apt,123,2,8,2019-03-10,0.14,28,76
14597322,"NW : Quiet/Safe/Friendly area
License # G6606579",85770211,Stacey,,City of Las Vegas,36.26208,-115.2754,Private room,61,1,95,2021-04-15,1.69,1,41
14615820,"Las Vegas Suburb Pool Home, 15 Minutes to Strip",9226626,Tanya,,Unincorporated Areas,36.00482,-115.12468,Entire home/apt,293,5,73,2021-03-23,1.30,1,227
14618850,Beautiful Remodeled 4Bedroom Home 5 Min from Strip,90743249,Bracken,,City of Las Vegas,36.15311,-115.1415,Entire home/apt,180,1,110,2021-04-12,1.97,7,341
14624361,Wyndham Grand Desert  ツ 2 Bedroom,60085031,Vacation Generation,,Unincorporated Areas,36.10608,-115.16134,Entire home/apt,171,3,42,2020-11-26,0.76,7,0
14639013,Luxury Style Casita on Las Vegas Strip,90743249,Bracken,,Unincorporated Areas,36.04909,-115.13246,Entire home/apt,110,1,43,2021-01-02,0.77,7,357
14655585,MGM Signature 2BR 3BA Penthouse Right On The Strip,56419800,Cindy,,Unincorporated Areas,36.10698,-115.17108,Entire home/apt,486,3,87,2021-03-30,1.58,9,293
14658450,2 Bedroom Resort near Strip and Mack Center.,83948478,Stan,,Unincorporated Areas,36.10683,-115.16105,Entire home/apt,220,6,0,,,1,364
14667654,Palms place 51st floor with Balcony Strip views,91139062,Doron,,Unincorporated Areas,36.1148,-115.19545,Entire home/apt,100,1,241,2021-04-17,4.25,2,192
14673140,Wyndham Grand Desert: 1 Bedroom Deluxe,58328044,Adriano,,Unincorporated Areas,36.10678,-115.16069,Entire home/apt,161,3,3,2017-04-27,0.05,1,84
14673427,MGM Signature 2BR 2BA Penthouse Right On The Strip,56419800,Cindy,,Unincorporated Areas,36.10601,-115.17103,Entire home/apt,391,3,93,2021-03-27,1.69,9,309
14689955,Clean & Spacious vacation home in Las Vegas,91342811,Nancy,,Unincorporated Areas,36.1221,-115.07945,Entire home/apt,160,2,114,2020-03-19,2.17,1,48
14692271,"Cozy, quiet and clean home near Silverton Hotel",91363424,Fran,,Unincorporated Areas,36.04336,-115.20824,Private room,25,1,11,2020-02-23,0.20,1,0
14696357,2BR/2B CENTER STRIP No Resort Fees! Free Parking!,1772843,Sheila,,Unincorporated Areas,36.10986,-115.17431,Entire home/apt,222,3,36,2021-04-13,0.69,19,121
14697378,"The Sunset Casita, we'll leave the porch light on.",91401827,Alec,,City of Las Vegas,36.15451,-115.13684,Entire home/apt,59,2,18,2020-11-15,0.32,1,73
14697781,The Grandview at Las Vegas 1BR,30228828,Yucheng,,Unincorporated Areas,36.00936,-115.17518,Entire home/apt,128,5,1,2019-11-09,0.06,1,0
14697831,Private bedroom near the Las Vegas Strip,91403933,Ida,,Unincorporated Areas,36.11956,-115.14419,Private room,69,3,45,2020-03-15,0.80,1,363
14710985,FREE LIMO! Ultra-Lux Penthouse Suite | Palms Place,71073866,Tony & Beth,,Unincorporated Areas,36.11323,-115.19781,Entire home/apt,175,1,83,2020-03-09,1.49,8,0
14725270,Freestanding house in a cul-de-sac/gated community,91666743,Ryan,,Unincorporated Areas,36.02282,-115.2748,Entire home/apt,75,31,7,2020-10-29,0.13,1,220
14729583,PRIVATE CHARMING OASIS NEAR STRIP,64186447,George,,Unincorporated Areas,36.12943,-115.29336,Entire home/apt,89,31,32,2021-02-17,0.58,2,347
14730823,Right in the Middle of Everything Vegas,42325634,Cynthia,,Unincorporated Areas,36.10827,-115.16145,Entire home/apt,160,2,60,2021-04-04,1.07,10,347
14733002,Signature@MGM Suite • NO RESORT FEE • BY THE STRIP,34968706,Alex,,Unincorporated Areas,36.10683,-115.16622,Entire home/apt,95,1,130,2021-04-12,2.31,6,271
14733635,"VDARA Suite • NO RESORT FEE, Walk to Bellagio/ARIA",34968706,Alex,,Unincorporated Areas,36.10924,-115.17849,Entire home/apt,118,1,177,2021-04-05,3.18,6,200
14740981,Spectacular 1220 sq ft corner suite at the Palms,20244977,Rami,,Unincorporated Areas,36.11381,-115.1968,Entire home/apt,170,2,206,2021-04-05,3.67,5,46
14744782,FREE LIMO! StripVu MasterStudioSuite | Palms Place,71073866,Tony & Beth,,Unincorporated Areas,36.11338,-115.19931,Entire home/apt,130,1,145,2021-04-07,2.58,8,153
14744927,"1 Block to Strip, Harrahs, Venetian",56527283,Shonda,,Unincorporated Areas,36.11829,-115.16248,Entire home/apt,299,3,5,2021-03-29,0.10,1,354
14760551,A00011 - 2BED/2BATH - KITCHEN | HOT TUBE | POOL,11256923,Luk,,Unincorporated Areas,36.09904,-115.16791,Entire home/apt,227,2,1,2019-11-04,0.06,27,356
14762252,A00020 - 2BED/2BATH - FAMILY WITH  KITCHEN |  POOL,11256923,Luk,,Unincorporated Areas,36.09547,-115.20885,Entire home/apt,240,2,0,,,27,355
14762271,MGM Signature Penthouse Jr. Studio  on Vegas Strip,56419800,Cindy,,Unincorporated Areas,36.10491,-115.17011,Entire home/apt,186,3,93,2021-04-04,1.78,9,333
14764452,FREE LIMO! Feng Shui •MasterStudioSuite•PalmsPlace,71073866,Tony & Beth,,Unincorporated Areas,36.11458,-115.19781,Entire home/apt,131,1,172,2021-04-13,3.10,8,142
14773631,7 min from the strip with pool,50321640,Ron,,Unincorporated Areas,36.14147,-115.2056,Entire home/apt,259,2,203,2021-04-18,3.60,7,131
14789728,MGM Signature Penthouse Jr. Studio suite on Strip,56419800,Cindy,,Unincorporated Areas,36.10768,-115.17123,Entire home/apt,190,3,96,2021-04-04,1.77,9,330
14807081,"Beautiful Brazilian Smart home  Licensed,",69399879,Ana Paula,,City of North Las Vegas,36.23576,-115.15323,Entire home/apt,264,2,77,2021-03-28,1.37,2,325
